Salario,Sexo,Años,educación
3.0999999046325684,F,0,11
3.240000009536743,F,2,12
3.0,M,0,11
6.0,M,28,8
5.300000190734863,M,2,12
8.75,M,8,16
11.25,M,7,18
5.0,F,3,12
3.5999999046325684,F,4,12
18.18000030517578,M,21,17
6.25,F,2,16
8.130000114440918,F,0,13
8.770000457763672,M,0,12
5.5,M,3,12
22.200000762939453,M,15,12
17.329999923706055,M,0,16
7.5,F,0,12
10.630000114440918,F,10,13
3.5999999046325684,F,0,12
4.5,F,6,12
6.880000114440918,F,4,12
8.479999542236328,M,13,12
6.329999923706055,F,9,16
0.5299999713897705,F,1,12
6.0,F,8,11
9.5600004196167,M,3,16
7.78000020980835,M,10,16
12.5,M,0,16
12.5,M,0,15
3.25,F,1,8
13.0,M,5,14
4.5,F,5,14
9.68000030517578,F,16,13
5.0,F,3,12
4.679999828338623,F,0,12
4.269999980926514,F,4,16
6.150000095367432,F,6,12
3.509999990463257,M,15,4
3.0,F,3,14
6.25,F,0,12
7.809999942779541,F,0,12
10.0,F,5,12
4.5,F,0,14
4.0,F,12,11
6.380000114440918,F,4,13
13.699999809265137,M,13,15
1.6699999570846558,M,0,10
2.930000066757202,F,2,12
3.650000095367432,M,2,14
2.900000095367432,F,1,12
1.6299999952316284,F,0,12
8.600000381469727,F,2,16
5.0,M,5,12
6.0,M,7,12
2.5,M,0,12
3.25,M,0,15
3.400000095367432,F,1,16
10.0,M,0,8
21.6299991607666,F,8,18
4.380000114440918,M,0,16
11.710000038146973,F,20,13
12.390000343322754,M,5,14
6.25,M,8,10
3.7100000381469727,F,0,10
7.78000020980835,M,3,14
19.979999542236328,M,23,14
6.25,F,4,16
10.0,M,3,12
5.710000038146973,M,5,16
2.0,F,2,12
5.710000038146973,F,0,16
13.079999923706056,M,2,17
4.909999847412109,M,8,12
2.9100000858306885,F,34,12
3.75,F,0,12
11.899999618530272,M,19,13
4.0,F,0,12
3.0999999046325684,F,1,12
8.449999809265137,M,13,12
7.139999866485596,M,0,18
4.5,M,5,9
4.650000095367432,M,1,16
2.900000095367432,F,0,10
6.670000076293945,M,5,12
3.5,F,2,12
3.259999990463257,F,3,12
3.25,F,0,12
8.0,F,4,12
9.850000381469728,M,24,8
7.5,M,7,12
5.909999847412109,M,6,12
11.760000228881836,M,39,14
3.0,F,0,12
4.809999942779541,F,0,12
6.5,F,1,12
4.0,F,1,9
3.5,M,0,13
13.15999984741211,M,22,12
4.25,M,2,14
3.5,M,0,12
5.130000114440918,F,6,15
3.75,F,0,12
4.5,F,12,12
7.630000114440918,F,4,12
15.0,M,7,14
6.849999904632568,F,3,15
13.329999923706056,M,11,12
6.670000076293945,M,10,12
2.5299999713897705,F,0,12
9.800000190734863,M,0,17
3.369999885559082,M,12,11
24.979999542236328,M,25,18
5.400000095367432,M,3,12
6.110000133514404,M,0,14
4.199999809265137,F,16,14
3.75,M,0,10
3.5,F,0,14
3.640000104904175,M,2,12
3.799999952316284,M,1,15
3.0,F,12,8
5.0,F,1,16
4.630000114440918,F,0,14
3.0,M,0,15
3.200000047683716,F,0,12
3.910000085830689,M,3,18
6.429999828338623,F,3,16
5.480000019073486,F,3,10
1.5,M,30,8
2.900000095367432,F,2,10
5.0,M,1,11
8.920000076293945,M,3,18
5.0,M,0,15
3.5199999809265137,M,1,12
2.900000095367432,F,0,11
4.5,M,0,12
2.25,F,0,12
5.0,M,5,14
10.0,M,3,16
3.75,M,13,2
10.0,F,11,14
10.949999809265137,M,20,16
7.900000095367432,M,0,12
4.71999979019165,F,1,12
5.840000152587891,F,0,13
3.829999923706055,F,2,12
3.200000047683716,F,2,15
2.0,F,0,10
4.5,F,4,12
11.550000190734863,F,5,16
2.140000104904175,F,15,13
2.380000114440918,M,0,9
3.75,M,0,12
5.519999980926514,M,3,13
6.5,F,5,12
3.0999999046325684,F,2,12
10.0,M,5,14
6.630000114440918,M,0,16
10.0,M,2,16
2.309999942779541,F,1,9
6.880000114440918,M,4,18
2.8299999237060547,M,0,10
3.130000114440918,F,0,10
8.0,M,5,13
4.5,F,4,12
8.649999618530273,F,1,18
2.0,F,6,13
4.75,F,2,12
6.25,F,5,13
6.0,M,0,13
15.380000114440918,M,21,13
14.579999923706056,F,7,18
12.5,M,1,12
5.25,F,10,12
2.1700000762939453,F,4,13
7.139999866485596,F,5,12
6.21999979019165,F,9,12
9.0,F,5,12
10.0,M,4,14
5.769999980926514,M,3,10
4.0,F,11,12
8.75,M,2,16
6.53000020980835,F,2,16
7.599999904632568,F,11,12
5.0,M,0,14
5.0,F,11,12
21.86000061035156,M,16,12
8.640000343322754,M,8,12
3.299999952316284,M,8,12
4.440000057220459,M,0,12
4.550000190734863,M,0,12
3.5,F,6,12
6.25,M,2,16
3.849999904632568,M,0,16
6.179999828338623,F,3,14
2.9100000858306885,F,0,11
6.25,F,1,16
6.25,F,0,12
9.050000190734863,M,2,12
10.0,M,3,17
11.109999656677246,M,8,12
6.880000114440918,M,19,12
8.75,M,2,16
10.0,M,0,8
3.049999952316284,F,0,12
3.0,F,0,12
5.800000190734863,F,6,12
4.099999904632568,F,0,16
8.0,M,2,12
6.150000095367432,F,12,12
2.700000047683716,F,0,9
2.75,F,2,13
3.0,F,10,16
3.0,F,2,14
7.360000133514404,M,24,8
7.5,M,24,14
3.5,M,2,13
8.100000381469727,F,3,12
3.75,M,2,18
3.25,M,0,9
5.829999923706055,F,15,8
3.5,M,0,8
3.3299999237060547,F,4,12
4.0,F,3,14
3.5,F,4,12
6.25,M,0,16
2.950000047683716,F,2,8
5.710000038146973,F,2,13
3.0,F,0,9
22.86000061035156,M,7,16
9.0,M,1,12
8.329999923706055,M,26,15
3.0,M,0,11
5.75,M,5,14
6.760000228881836,M,3,12
10.0,M,0,12
3.0,M,0,12
3.5,F,1,18
3.25,M,0,12
4.0,F,1,12
2.9200000762939453,F,0,12
3.059999942779541,F,10,12
3.200000047683716,F,5,12
4.75,M,0,12
3.0,F,0,14
18.15999984741211,M,7,16
3.5,F,0,12
4.110000133514404,M,0,14
1.9600000381469729,F,3,11
4.289999961853027,F,0,12
3.0,M,0,10
6.449999809265137,M,6,12
5.199999809265137,M,13,6
4.5,F,2,13
3.880000114440918,M,3,12
3.450000047683716,F,0,10
10.90999984741211,M,23,12
4.099999904632568,F,0,14
3.0,M,1,13
5.900000095367432,M,7,12
18.0,F,0,18
4.0,M,0,12
3.0,M,0,12
3.549999952316284,F,0,12
3.0,F,1,12
8.75,M,44,12
2.900000095367432,F,6,8
6.260000228881836,F,17,13
3.5,F,0,13
4.599999904632568,F,0,14
6.0,M,8,12
2.890000104904175,F,0,10
5.579999923706055,M,1,16
4.0,F,6,12
6.0,M,2,16
4.5,F,1,12
2.9200000762939453,M,3,14
4.329999923706055,M,0,18
18.88999938964844,M,20,17
4.28000020980835,F,1,13
4.570000171661377,F,7,14
6.25,F,4,15
2.950000047683716,M,23,14
8.75,M,1,12
8.5,M,26,8
3.75,F,0,12
3.150000095367432,M,1,12
5.0,M,2,8
6.460000038146973,M,0,12
2.0,M,0,9
4.789999961853027,M,8,12
5.78000020980835,M,4,16
3.180000066757202,F,0,12
4.679999828338623,F,1,16
4.099999904632568,F,2,12
2.9100000858306885,M,0,12
6.0,M,13,13
3.5999999046325684,F,26,10
3.950000047683716,M,6,6
7.0,M,5,12
3.0,F,9,12
6.079999923706055,M,0,16
8.630000114440918,M,9,12
3.0,M,2,8
3.75,F,2,12
2.900000095367432,M,7,6
3.0,M,0,4
6.25,M,31,11
3.5,F,2,11
3.0,F,1,7
3.240000009536743,F,0,12
8.020000457763672,F,3,18
3.3299999237060547,F,8,12
5.25,M,0,16
6.25,M,0,12
3.5,M,2,14
2.950000047683716,M,1,12
3.0,F,0,10
4.690000057220459,M,7,10
3.7300000190734863,F,2,9
4.0,M,12,10
4.0,F,0,12
2.900000095367432,F,1,12
3.049999952316284,F,0,12
5.050000190734863,F,0,10
13.949999809265137,M,16,16
18.15999984741211,M,28,16
6.25,M,4,16
5.25,M,0,12
4.789999961853027,F,3,12
3.3499999046325684,F,0,7
3.0,M,0,8
8.430000305175781,M,6,16
5.699999809265137,M,0,16
11.979999542236328,M,10,18
3.5,F,1,13
4.239999771118164,M,5,10
7.0,F,3,16
6.0,F,3,14
12.220000267028809,M,2,16
4.5,M,0,12
3.0,F,20,9
2.900000095367432,M,2,11
15.0,M,31,11
4.0,M,2,12
5.25,M,11,11
4.0,M,3,12
3.299999952316284,F,9,12
5.050000190734863,F,0,12
3.5799999237060547,M,0,12
5.0,M,5,14
4.570000171661377,M,0,14
12.5,M,2,18
3.450000047683716,F,5,12
4.630000114440918,F,1,12
10.0,M,2,12
2.9200000762939453,F,0,11
4.510000228881836,M,2,12
6.5,M,0,17
7.5,M,0,16
3.539999961853028,F,7,13
4.199999809265137,F,3,13
3.509999990463257,F,2,12
4.5,M,0,14
3.3499999046325684,F,4,14
2.9100000858306885,M,2,11
5.25,M,7,10
4.050000190734863,M,25,8
3.75,F,0,14
3.400000095367432,F,15,12
3.0,F,1,10
6.289999961853027,M,3,17
2.539999961853028,F,0,9
4.5,F,0,12
3.130000114440918,F,5,12
6.360000133514404,M,1,14
4.679999828338623,M,0,16
6.800000190734863,M,10,12
8.529999732971191,M,6,10
4.170000076293945,F,10,0
3.75,F,4,14
11.100000381469728,F,4,15
3.259999990463257,F,5,16
9.130000114440918,M,12,12
4.5,M,10,11
3.0,F,1,11
8.75,M,4,12
4.139999866485596,F,0,13
2.869999885559082,F,8,12
3.3499999046325684,F,0,13
6.079999923706055,M,10,16
3.0,M,0,15
4.199999809265137,F,0,16
5.599999904632568,F,15,15
10.0,M,24,12
12.5,M,5,18
3.759999990463257,M,0,6
3.0999999046325684,F,0,6
4.289999961853027,F,25,12
10.920000076293944,M,5,12
7.5,F,2,16
4.050000190734863,F,4,9
4.650000095367432,M,2,12
5.0,M,5,11
2.900000095367432,F,0,10
8.0,F,3,12
8.430000305175781,M,3,8
2.9200000762939453,F,0,9
6.25,F,0,17
6.25,F,2,16
5.110000133514404,M,0,11
4.0,F,0,10
4.440000057220459,M,11,8
6.880000114440918,M,21,13
5.429999828338623,M,3,14
3.0,F,0,13
2.900000095367432,F,0,11
6.25,M,21,7
4.340000152587891,F,2,16
3.25,F,2,12
7.260000228881836,M,2,13
6.349999904632568,F,1,14
5.630000114440918,M,2,16
8.75,M,3,14
3.200000047683716,M,0,11
3.0,F,1,8
3.0,F,3,14
12.5,M,18,17
2.880000114440918,F,0,10
3.3499999046325684,M,1,12
6.5,M,2,12
10.380000114440918,M,2,18
4.5,M,0,14
10.0,M,8,18
3.809999942779541,F,1,12
8.800000190734863,M,1,16
9.420000076293944,F,0,14
6.329999923706055,M,8,12
4.0,M,18,9
2.900000095367432,F,0,12
20.0,M,4,12
11.25,M,25,17
3.5,F,0,12
6.0,F,4,15
14.380000114440918,M,9,17
6.360000133514404,M,0,16
3.549999952316284,F,0,12
3.0,M,0,15
4.5,M,10,16
6.630000114440918,F,0,12
9.300000190734863,M,2,15
3.0,F,0,12
3.25,F,2,12
1.5,F,1,12
5.900000095367432,F,7,12
8.0,M,4,16
2.900000095367432,F,0,11
3.289999961853028,M,13,14
6.5,M,33,14
4.0,F,0,13
6.0,M,0,14
4.079999923706055,F,17,12
3.75,F,2,12
3.049999952316284,F,24,8
3.5,F,20,12
2.9200000762939453,M,30,3
4.5,M,9,11
3.3499999046325684,F,1,15
5.949999809265137,M,9,11
8.0,M,6,12
3.0,M,0,4
5.0,M,9,9
5.5,M,4,12
2.650000095367432,F,10,12
3.0,F,0,11
4.5,F,14,12
17.5,M,22,16
8.180000305175781,M,5,13
9.09000015258789,M,12,15
11.81999969482422,M,13,16
3.25,F,0,12
4.5,M,0,12
4.5,M,0,12
3.7100000381469727,M,7,9
6.5,M,11,10
2.900000095367432,F,1,12
5.599999904632568,M,8,11
2.2300000190734863,M,3,8
5.0,F,0,6
8.329999923706055,M,2,16
2.900000095367432,F,1,12
6.25,M,6,12
4.550000190734863,M,2,16
3.2799999713897705,F,2,12
2.299999952316284,F,0,10
3.299999952316284,F,0,13
3.150000095367432,F,0,13
12.5,M,30,14
5.150000095367432,F,21,16
3.130000114440918,M,1,10
7.25,M,5,12
2.900000095367432,F,2,12
1.75,M,1,11
2.890000104904175,F,0,0
2.900000095367432,F,0,5
17.709999084472656,M,3,16
6.25,M,3,16
2.5999999046325684,M,0,9
6.630000114440918,F,3,15
3.5,F,3,12
6.5,M,14,12
3.0,F,1,12
4.380000114440918,M,0,13
10.0,M,0,12
4.949999809265137,M,17,7
9.0,F,0,17
1.4299999475479126,F,0,12
3.0799999237060547,M,1,12
9.329999923706056,M,11,14
7.5,M,5,12
4.75,M,1,13
5.650000095367432,M,0,12
15.0,F,2,16
2.2699999809265137,F,0,10
4.670000076293945,M,18,15
11.5600004196167,M,1,16
3.5,F,4,14
